LR Clip Loss
0.08 20 77.25422668457031
0.08 40 78.19171905517578
0.08 50 78.37594604492188
0.08 80 78.98040008544922
0.1 0.0001 76.98927307128906
0.1 0.0002 76.98684692382812
0.1 0.0004 76.98704528808594
0.1 0.0005 76.99433898925781
0.1 0.0008 76.98387908935547
0.1 0.001 76.98716735839844
0.1 0.002 76.98700714111328
0.1 0.004 76.99065399169922
0.1 0.005 76.98563385009766
0.1 0.008 76.98291778564453
0.1 0.01 77.00117492675781
0.1 0.02 76.99140930175781
0.1 0.04 76.98770141601562
0.1 0.05 76.9854965209961
0.1 0.08 76.98770141601562
0.1 0.1 76.98352813720703
0.1 0.2 76.98749542236328
0.1 0.4 76.98906707763672
0.1 0.5 77.00825500488281
0.1 0.8 76.99758911132812
0.1 1 77.00910949707031
0.1 2 77.0705795288086
0.1 4 77.06713104248047
0.1 5 77.1313247680664
0.1 8 77.28214263916016
0.1 10 77.28910827636719
0.1 20 77.35440063476562
0.1 40 78.09165954589844
0.1 50 79.1434326171875
0.1 80 77.840087890625
0.2 0.0001 77.02876281738281
0.2 0.0002 77.00359344482422
0.2 0.0004 76.98795318603516
0.2 0.0005 77.04511260986328
0.2 0.0008 77.0082015991211
0.2 0.001 76.99962615966797
0.2 0.002 77.00481414794922
0.2 0.004 77.11825561523438
0.2 0.005 77.02825164794922
0.2 0.008 76.986572265625
0.2 0.01 76.99219512939453
0.2 0.02 76.99832916259766
0.2 0.04 77.06395721435547
0.2 0.05 76.98712158203125
0.2 0.08 76.99185943603516
0.2 0.1 76.9976577758789
0.2 0.2 76.99522399902344
0.2 0.4 76.99632263183594
0.2 0.5 77.01104736328125
0.2 0.8 77.0206527709961
0.2 1 77.02606201171875
0.2 2 77.08889770507812
0.2 4 77.15235900878906
0.2 5 77.44811248779297
0.2 8 77.62401580810547
0.2 10 77.46870422363281
0.2 20 78.08612823486328
0.2 40 79.47383117675781
0.2 50 82.48029327392578
0.2 80 89.79657745361328
0.4 0.0001 77.10321807861328
0.4 0.0002 77.03314971923828
0.4 0.0004 77.33522033691406
0.4 0.0005 77.0665283203125
0.4 0.0008 77.03069305419922
0.4 0.001 77.03959655761719
0.4 0.002 77.0783920288086
0.4 0.004 76.99698638916016
0.4 0.005 77.0179214477539
0.4 0.008 77.13505554199219
0.4 0.01 77.16539001464844
0.4 0.02 77.38151550292969
